post	similarity
pics	0.6957645727066978
aww	0.6882883681992993
oddlysatisfying	0.6899523992255645
gaming	0.7291506457176801
MURICA	0.7517677043286328
funny	0.684525143586474
gifs	0.6717583316584389
shittyreactiongifs	0.6673825339575445
Unexpected	0.6506438455558787
WTF	0.5172308967039466
StarWars	0.667443298409625
AdviceAnimals	0.7325215005866786
ImGoingToHellForThis	-0.011325198858003965
Pareidolia	0.6255479474178947
thatHappened	0.6830543713876133
4chan	0.676929525067387
notinteresting	0.6752795497917042
mildlyinteresting	0.686175700846253
trashy	0.42739566874670754
reactiongifs	0.6332336841604502
wheredidthesodago	0.6767455449415762
food	0.7115363325431451
AnimalsBeingBros	0.651071128274036
nsfw	-0.011352723096787485
woahdude	0.7065277955903836
pcmasterrace	0.7307792024658547
rearpussy	-0.01013352191469681
photoshopbattles	0.6182136077633822
standupshots	0.70549449831764
bicycling	0.7827121754729913
HistoryPorn	0.5986088901622897
comics	0.6776545923798343
mindcrack	0.7554245578820558
OldSchoolCool	0.6990825228365098
polandball	0.6243237942409187
cats	0.7028039929691463
teenagers	0.7294563662182377
gameofthrones	0.724086259037814
space	0.7380849524943172
tumblr	0.6925918424139407
perfectloops	0.6875034123692639
TrollXChromosomes	0.7334441898913264
circlejerk	0.7400334900639403
facepalm	0.6741004050596443
AndroidGaming	0.7458450518840293
CrappyDesign	0.68730442076743
skyrim	0.7137696544078432
atheism	0.7711126995614177
smashbros	0.8000232340156578
interestingasfuck	0.7065396424354512
movies	0.8595109869562647
trees	0.748527846906711
TrollYChromosome	0.7265379479857722
hardbodies	0.7015413648534667
MensRights	0.8316876535128183
australia	0.9750849706895384
WastedGifs	0.6577593239216469
AnimalsBeingJerks	0.6359910097330813
youdontsurf	0.6896130103280134
Minecraft	0.7229427035601967
SkincareAddiction	0.7215391743348686
TheLastAirbender	0.7879808331580831
Tinder	0.6819118206381013
GamePhysics	0.7672110691974853
ass	-0.010823624646096751
Art	0.7325783193654523
cringepics	0.7069151116681344
wallpapers	0.7258145922915253
vexillology	0.6901319684282611
